track_id	song_id	title	artist_name	artist_location	artist_hotttnesss	release	year	song_hotttnesss	danceability	duration	loudness	sample_rate	tempo
string	string	string	string	string	float	string	int	float	float	float	float	float	float
TRAQQHJ128F9345DC3	SOZYDBD12AF72A30E7	1000 Good Intentions	Rise Against	Chicago	0.625080480974	The Unraveling	2001	nan	0.0	187.66322	-5.794	22050	155.411
TRAQQUQ128F933671B	SOCJMUC12AB01859E9	I'm Wondering	Mikey General	Jamaica	0.418736205125	Stronger Rastaman	0	nan	0.0	220.73424	-13.333	22050	87.858
TRAQQOG128F934B0A1	SOUTVOS12AB0189D62	Zanzibar	Lizzy Borden	Los Angeles, CA	0.419967935771	Deal With The Devil	2000	0.484562529968	0.0	386.66404	-4.151	22050	186.075
TRAQQZN128F931FA31	SOKUPZU12AB018379B	Everything I Need	All Girl Summer Fun Band		0.369870107031	Looking Into It	2008	0.450762241641	0.0	212.84526	-10.187	22050	139.967
TRAQQVR128F4255A3A	SOBRZCG12A6702187D	White Light	Gorillaz		0.605191152965	Demon Days	2005	0.813129444041	0.0	128.41751	-7.766	22050	154.873
TRAQQUC128F9314732	SORUVQF12AB017D220	I Surrender All	Clay Crosse	Tennessee	0.414011294632	I Surrender All	1998	0.591754160596	0.0	286.74567	-7.997	22050	134.864
TRAQQYH12903D0C595	SOEWXOF12AC468B5C8	Gedroomd	Hef feat. Big2 & Dio		0.40535409152	Hefvermogen	2009	0.537503904192	0.0	219.29751	-9.909	22050	102.374
TRAQQLM128F147CBFE	SOTTGWB12A6D4F58C6	Jaan - Interlude	Rishi Rich		0.331373169899	The Project	2006	0.440187397723	0.0	45.45261	-10.817	22050	95.985
TRAQQEE128EF342942	SOREPXL12A67ADE7DA	Onni	Irwin Goodman	Hämeenlinna	0.432804310302	Cha cha cha	1978	0.215080318509	0.0	231.47057	-5.752	22050	151.004
TRAQQUX128F92F9F10	SOGSUTX12AB018C0E9	Starlight	Snowgoons	Karlsruhe, Germany	0.461345852016	Black Snow	2008	0.587102737079	0.0	232.75057	-2.42	22050	104.705
TRAQQTW128F1466D86	SOGSJVU12A6D4F8735	All The Things You Are	Eliane Elias	Sao Paulo, Brazil	0.427914246983	Solos And Duets	1995	0.215080318509	0.0	201.22077	-28.25	22050	176.138
TRAQZTC128F933E227	SOIDGDW12AB01803DA	Oh The Joy That Came To Me	Sister Rosetta Tharpe	Cotton Plant, AR	0.360350447854	Never Alone	0	0.212045405484	0.0	84.11383	-21.669	22050	100.399
TRAQZQC128F14ACB44	SONHRBI12A6D4F9B05	Allez_ Glissez!	Quadro Nuevo		0.409244638616	Luna Rossa	2002	0.215080318509	0.0	215.30077	-10.232	22050	188.626
TRAQZGZ128F92FF445	SOUJYWU12AB017EF43	Salsa pa tí	Perrocker		0.0	Estrella de Ros	0	0.0	0.0	304.1171	-14.12	22050	125.226
TRAQZSL128F426A842	SOYUYJC12A8C13799E	Don't Bogart	Headhunter		0.448452836637	Rebirth	0	0.0	0.0	267.59791	-6.536	22050	141.36
TRAQZFU128F429AF8D	SOFUZPW12A8C13DEEB	Life Upon The Wicked Stage	Sophie Tucker	Russia	0.360916230015	The Golden Jubilee Album	0	nan	0.0	142.78485	-10.666	22050	135.021
TRAQZDZ128F92C9FCE	SOCROGM12A8C140561	Principe Nino - Original	Orquesta Broadway		0.341061399219	Paraiso	1981	0.0	0.0	421.35465	-15.314	22050	115.521
TRAQZBF128F42830A1	SOJMOHG12A8C141AA7	Easy Life (Live)	Cockney Rejects	England	0.42865098879	Live And Loud	1997	0.386477291255	0.0	176.01261	-10.581	22050	138.836
TRAQZMQ12903CB7E9D	SOODGCM12A8C136BEB	Mansion in the Sky	Florida Boys		0.234519760369	World's Most Beloved Hymns - Vol 2	0	0.0	0.0	114.62485	-7.356	22050	96.622
TRAQZAA128F4281E5F	SOSPUHC12A58A7C54E	Casava Piece Riddim	Sly Dunbar		0.27639457641	Cassava Piece Riddim	0	0.304169503435	0.0	225.07057	-14.941	22050	88.489
TRAQZPC12903CDE0D5	SONRSJX12AB018CBB4	Going Out Tonight	HardNox	California - SF	0.314644326826	Going Out Tonight (feat. Jaime) - Single	0	0.0	0.0	202.60526	-4.897	22050	125.077
TRAQZIY128F427F117	SOQFJSD12A8C13FEEA	Lagrima	Terry Muska	Texas	0.0	The Tarrega Legacy (Music of the Father of the Classical Guitar)	0	nan	0.0	113.05751	-17.609	22050	72.582
TRAQZJM128F4216397	SOOVLAA12A6D4FB16B	Sick 2 Think	Why?	Cincinnati, OH	0.477019789514	Sanddollars EP	0	0.573019827988	0.0	118.38649	-9.035	22050	119.983
TRAQZWH128F934B093	SOQRQYT12AB0185674	Don't Start Me Cryin' Now	DMZ	Boston, MA	0.327258977363	Live At The Rat	0	nan	0.0	151.87546	-6.494	22050	101.926
TRAQZPU128F14B06DE	SOAAZHH12A58A7B384	Studio Dialogue (#26)	The Stooges	Ann Arbor, MI	0.497050958692	1970: The Complete Fun House Sessions	0	nan	0.0	16.92689	-19.585	22050	67.03
TRAQZUA12903CE65F2	SOMRUQD12AC468EF9C	Love and happiness	Billy Price_ Fred Chapellier	Pennsylvania	0.293089232126	Night work	0	0.0	0.0	356.93669	-9.102	22050	106.492
TRAQZQX128F931338F	SOJKTJG12AB0182516	Touch The Sky	Kanye West / Lupe Fiasco	Atlanta, GA	1.08250255673	Touch The Sky	2010	nan	0.0	236.72118	-5.263	22050	106.825
TRAQGWU128F93275F9	SOBPRXH12AB01824D8	Buried Alive In The Blues	Michael Bloomfield		0.372179877857	Live At The Old Waldorf	0	0.3759843015	0.0	295.91465	-12.022	22050	106.534
TRAQGRI12903CEE1DA	SOORZRU12AC468A12D	Chanson sous la pluie	Michèle Bernard		0.373862970558	Mes premiers vinyls	2002	nan	0.0	192.67873	-10.338	22050	114.495
TRAQGHF128F4263CCB	SOSFYHJ12A8C13AF10	Track 04	Pelt	Kingston	0.326816073648	Untitled	0	nan	0.0	225.98485	-22.196	22050	107.368
TRAQGMY128F425A2F5	SOESVVP12CF5F8799A	A Whiter Shade Of Pale	Annie Lennox	Aberdeen	0.621085212055	Medusa	1995	nan	0.0	316.76036	-8.724	22050	145.99
TRAQGNV128C7196894	SOSDYAS12AB0180457	All Of This	Blink-182	Poway, CA	0.582346373958	blink-182	2003	0.724133953204	0.0	280.00608	-5.342	22050	117.574
TRAQGLM128EF356DEA	SORLFPE12A6D4F2B84	Bad Creation	Vivian	CANADA - Ontario	0.359260264118	Vivianism	2007	0.215080318509	0.0	227.76118	-6.53	22050	90.993
TRAQGZY128F425E791	SOJZOST12A8C139DA4	East	The Rongetz Foundation		0.389314396561	East	0	0.306699164735	0.0	390.37342	-8.415	22050	119.992
TRAQGXT128F4239CE0	SOEMIKT12A8AE4884B	I Can't Help	Cocoa Tea	Kingston, Jamaica	0.292906768906	One Way	0	0.249065794854	0.0	237.89669	-7.441	22050	163.664
TRAQGID128F932232D	SOGXADW12AB0183042	No Mercy Remix (Cade Money Remix)	The Last Eighth feat. Dumi Right(Zimbabwe Legit) and Skillz		0.0	House of Stone	2007	nan	0.0	239.33342	-6.947	22050	179.912
